#{"t_start": 1734280042.960061, "env_id": "CartPole-v1"}
r,l,t
15.0,15,1.758486
24.0,24,1.837051
18.0,18,1.845481
40.0,40,1.976159
33.0,33,2.036878
10.0,10,2.044757
25.0,25,2.095257
22.0,22,2.109376
17.0,17,2.160284
15.0,15,2.169703
17.0,17,2.219325
19.0,19,2.233428
35.0,35,2.342359
32.0,32,2.392637
91.0,91,2.510077
126.0,126,2.719229
149.0,149,3.031944
