#{"t_start": 1734280042.9563143, "env_id": "CartPole-v1"}
r,l,t
67.0,67,1.904825
37.0,37,1.984389
37.0,37,2.049486
19.0,19,2.060431
10.0,10,2.102974
11.0,11,2.110094
18.0,18,2.160688
16.0,16,2.170876
31.0,31,2.229351
42.0,42,2.311306
23.0,23,2.355557
41.0,41,2.410144
105.0,105,2.610078
88.0,88,2.767357
77.0,77,2.899476
