#{"t_start": 1734280042.9309669, "env_id": "CartPole-v1"}
r,l,t
34.0,34,1.863158
17.0,17,1.871155
33.0,33,1.938323
41.0,41,2.019837
20.0,20,2.077352
18.0,18,2.122606
16.0,16,2.134322
13.0,13,2.141884
18.0,18,2.192879
21.0,21,2.240858
24.0,24,2.262163
130.0,130,2.52467
75.0,75,2.637097
67.0,67,2.742458
152.0,152,3.057146
93.0,93,3.199294
