#{"t_start": 1734280042.9424186, "env_id": "CartPole-v1"}
r,l,t
15.0,15,1.775802
13.0,13,1.781996
58.0,58,1.928422
20.0,20,1.999393
11.0,11,2.00416
22.0,22,2.061351
17.0,17,2.072047
17.0,17,2.118762
20.0,20,2.17029
19.0,19,2.182927
19.0,19,2.229811
19.0,19,2.245632
12.0,12,2.31271
21.0,21,2.321921
45.0,45,2.41343
41.0,41,2.467196
60.0,60,2.569858
86.0,86,2.725258
87.0,87,2.848776
150.0,150,3.145298
