#{"t_start": 1734280042.9496372, "env_id": "CartPole-v1"}
r,l,t
13.0,13,1.767034
45.0,45,1.856584
72.0,72,2.046878
15.0,15,2.058929
21.0,21,2.106446
12.0,12,2.114978
14.0,14,2.123746
18.0,18,2.17457
24.0,24,2.226528
24.0,24,2.303315
30.0,30,2.317673
31.0,31,2.366653
62.0,62,2.465136
118.0,118,2.670319
191.0,191,3.043779
10.0,10,3.048315
