#{"t_start": 1734280042.953297, "env_id": "CartPole-v1"}
r,l,t
32.0,32,1.774143
35.0,35,1.90744
18.0,18,1.916721
15.0,15,1.984864
21.0,21,1.995268
10.0,10,2.044561
12.0,12,2.05362
13.0,13,2.061396
21.0,21,2.110512
13.0,13,2.118173
12.0,12,2.165581
14.0,14,2.174606
38.0,38,2.238861
19.0,19,2.306817
45.0,45,2.362266
47.0,47,2.453587
82.0,82,2.568179
52.0,52,2.667053
45.0,45,2.728993
134.0,134,3.033647
40.0,40,3.086277
