#{"t_start": 1734280042.9464612, "env_id": "CartPole-v1"}
r,l,t
26.0,26,1.776836
35.0,35,1.86148
13.0,13,1.918581
29.0,29,1.993463
25.0,25,2.008466
21.0,21,2.064379
15.0,15,2.108077
10.0,10,2.115694
18.0,18,2.126677
14.0,14,2.175147
16.0,16,2.185293
14.0,14,2.23234
18.0,18,2.245367
81.0,81,2.412561
69.0,69,2.51947
102.0,102,2.677126
138.0,138,2.97611
